parish,data_date,total,total_race,total_gender,total_age,black,white,aapi,native,race_unknown,race_na,female,male,gender_unknown,gender_na,age_under_18,age_18_24,age_25_34,age_35_44,age_45_54,age_55_plus,pct_black,pct_white,pct_aapi,pct_native,pct_race_unknown,pct_race_na,pct_female,pct_male,pct_gender_unknown,pct_gender_na,pct_age_under_18,pct_age_18_24,pct_age_25_34,pct_age_35_44,pct_age_45_54,pct_age_55_plus
Acadia,2025-06-11,177,177,177,177,89,88,0,0,0,0,19,158,0,0,3,28,50,59,18,19,50.28,49.72,0,0,0,0,10.73,89.27,0,0,1.69,15.82,28.25,33.33,10.17,10.73
Allen,2025-06-11,108,108,108,92,29,76,1,2,0,0,15,93,0,0,2,10,30,30,15,5,26.85,70.37,0.93,1.85,0,0,13.89,86.11,0,0,2.17,10.87,32.61,32.61,16.3,5.43
Ascension,2025-06-11,525,525,525,410,276,212,7,0,30,0,61,464,0,0,7,93,123,122,48,17,52.57,40.38,1.33,0,5.71,0,11.62,88.38,0,0,1.71,22.68,30,29.76,11.71,4.15
Assumption,2025-06-11,105,40,105,105,0,40,0,0,0,65,8,97,0,0,0,27,32,31,8,7,0,100,0,0,0,61.9,7.62,92.38,0,0,0,25.71,30.48,29.52,7.62,6.67
Avoyelles,2025-06-11,359,359,359,359,179,180,0,0,0,0,107,252,0,0,1,50,113,115,46,34,49.86,50.14,0,0,0,0,29.81,70.19,0,0,0.28,13.93,31.48,32.03,12.81,9.47
Beauregard,2025-06-11,178,178,178,142,49,124,1,0,4,0,33,145,0,0,0,14,34,44,30,20,27.53,69.66,0.56,0,2.25,0,18.54,81.46,0,0,0,9.86,23.94,30.99,21.13,14.08
Bienville,2025-06-11,44,20,44,42,0,20,0,0,0,24,0,44,0,0,0,7,11,12,5,7,0,100,0,0,0,54.55,0,100,0,0,0,16.67,26.19,28.57,11.9,16.67
Bossier,2025-06-11,1159,1159,1159,0,607,548,4,0,0,0,92,1067,0,0,0,0,0,0,0,0,52.37,47.28,0.35,0,0,0,7.94,92.06,0,0,NA,NA,NA,NA,NA,NA
Caddo,2025-06-11,1448,1448,1448,1448,1058,385,2,0,3,0,184,1264,0,0,43,256,419,431,180,119,73.07,26.59,0.14,0,0.21,0,12.71,87.29,0,0,2.97,17.68,28.94,29.77,12.43,8.22
Calcasieu,2025-06-11,915,915,915,915,496,385,2,0,32,0,135,780,0,0,18,159,253,278,130,77,54.21,42.08,0.22,0,3.5,0,14.75,85.25,0,0,1.97,17.38,27.65,30.38,14.21,8.42
Caldwell,2025-06-11,599,599,599,0,363,224,0,0,12,0,28,571,0,0,0,0,0,0,0,0,60.6,37.4,0,0,2,0,4.67,95.33,0,0,NA,NA,NA,NA,NA,NA
Cameron,2025-06-11,12,12,12,12,2,9,1,0,0,0,2,10,0,0,0,0,1,7,1,3,16.67,75,8.33,0,0,0,16.67,83.33,0,0,0,0,8.33,58.33,8.33,25
Catahoula,2025-06-11,126,126,126,126,83,43,0,0,0,0,6,120,0,0,3,22,40,29,23,9,65.87,34.13,0,0,0,0,4.76,95.24,0,0,2.38,17.46,31.75,23.02,18.25,7.14
Claiborne,2025-06-11,605,605,605,3,388,216,0,0,1,0,15,590,0,0,0,0,2,1,0,0,64.13,35.7,0,0,0.17,0,2.48,97.52,0,0,0,0,66.67,33.33,0,0
Concordia,2025-06-11,803,803,803,708,378,418,2,0,5,0,262,541,0,0,0,126,223,212,108,39,47.07,52.05,0.25,0,0.62,0,32.63,67.37,0,0,0,17.8,31.5,29.94,15.25,5.51
DeSoto,2025-06-11,105,105,105,105,65,39,1,0,0,0,9,96,0,0,2,19,25,35,16,8,61.9,37.14,0.95,0,0,0,8.57,91.43,0,0,1.9,18.1,23.81,33.33,15.24,7.62
East Baton Rouge,2025-06-11,755,750,753,755,563,155,2,0,30,5,152,601,0,2,9,141,236,200,113,56,75.07,20.67,0.27,0,4,0.66,20.19,79.81,0,0.26,1.19,18.68,31.26,26.49,14.97,7.42
East Feliciana,2025-06-11,245,245,245,245,139,106,0,0,0,0,7,238,0,0,1,32,85,72,39,16,56.73,43.27,0,0,0,0,2.86,97.14,0,0,0.41,13.06,34.69,29.39,15.92,6.53
Evangeline,2025-06-11,87,87,87,78,38,48,0,0,1,0,2,85,0,0,0,7,20,26,17,8,43.68,55.17,0,0,1.15,0,2.3,97.7,0,0,0,8.97,25.64,33.33,21.79,10.26
Franklin,2025-06-11,858,858,858,0,538,303,1,1,15,0,13,845,0,0,0,0,0,0,0,0,62.7,35.31,0.12,0.12,1.75,0,1.52,98.48,0,0,NA,NA,NA,NA,NA,NA
Iberia,2025-06-11,413,413,412,0,249,151,4,2,7,0,43,369,0,1,0,0,0,0,0,0,60.29,36.56,0.97,0.48,1.69,0,10.44,89.56,0,0.24,NA,NA,NA,NA,NA,NA
Iberville,2025-06-11,96,96,96,95,48,44,1,0,3,0,11,85,0,0,3,12,35,22,13,10,50,45.83,1.04,0,3.12,0,11.46,88.54,0,0,3.16,12.63,36.84,23.16,13.68,10.53
Jefferson,2025-06-11,1124,1123,1124,1119,730,389,1,0,3,1,128,996,0,0,15,208,342,316,142,96,65,34.64,0.09,0,0.27,0.09,11.39,88.61,0,0,1.34,18.59,30.56,28.24,12.69,8.58
Jefferson Davis,2025-06-11,164,164,164,128,63,98,0,0,3,0,15,149,0,0,0,14,36,44,21,13,38.41,59.76,0,0,1.83,0,9.15,90.85,0,0,0,10.94,28.12,34.38,16.41,10.16
La Salle,2025-06-11,62,61,62,51,20,40,0,0,1,1,10,52,0,0,0,2,15,14,15,5,32.79,65.57,0,0,1.64,1.61,16.13,83.87,0,0,0,3.92,29.41,27.45,29.41,9.8
Lafayette,2025-06-11,847,845,847,847,513,327,0,0,5,2,77,770,0,0,13,142,258,261,110,63,60.71,38.7,0,0,0.59,0.24,9.09,90.91,0,0,1.53,16.77,30.46,30.81,12.99,7.44
Lafourche,2025-06-11,704,704,704,544,349,349,0,6,0,0,68,635,1,0,8,77,162,170,78,49,49.57,49.57,0,0.85,0,0,9.66,90.2,0.14,0,1.47,14.15,29.78,31.25,14.34,9.01
Lincoln,2025-06-11,327,327,327,327,245,82,0,0,0,0,45,282,0,0,5,82,94,92,35,19,74.92,25.08,0,0,0,0,13.76,86.24,0,0,1.53,25.08,28.75,28.13,10.7,5.81
