parish,race,gender,arrest_age,age_category,time_since_arrested,scraped_at,source_url
Acadia,White,Female,41,35-44,175,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,21,18-24,24,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,24,18-24,166,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,43,35-44,123,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,42,35-44,384,2025-06-11,http://acadia.lavns.org
Acadia,Black,Female,22,18-24,17,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,21,18-24,148,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,19,18-24,33,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,32,25-34,79,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,38,35-44,1,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,28,25-34,31,2025-06-11,http://acadia.lavns.org
Acadia,White,Female,56,55+,115,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,27,25-34,58,2025-06-11,http://acadia.lavns.org
Acadia,White,Female,47,45-54,4,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,37,35-44,196,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,28,25-34,125,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,30,25-34,38,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,17,Under 18,293,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,31,25-34,361,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,48,45-54,306,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,39,35-44,30,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,40,35-44,371,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,52,45-54,188,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,40,35-44,265,2025-06-11,http://acadia.lavns.org
Acadia,Black,Female,45,45-54,33,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,25,25-34,33,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,37,35-44,215,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,55,55+,7,2025-06-11,http://acadia.lavns.org
Acadia,White,Female,33,25-34,50,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,23,18-24,128,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,61,55+,35,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,41,35-44,1482,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,38,35-44,14,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,57,55+,33,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,44,35-44,266,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,41,35-44,3,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,28,25-34,52,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,40,35-44,61,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,48,45-54,30,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,27,25-34,2,2025-06-11,http://acadia.lavns.org
Acadia,White,Female,23,18-24,30,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,29,25-34,319,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,41,35-44,20,2025-06-11,http://acadia.lavns.org
Acadia,Black,Female,64,55+,162,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,41,35-44,15,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,41,35-44,577,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,28,25-34,421,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,24,18-24,8,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,21,18-24,21,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,21,18-24,782,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,20,18-24,153,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,25,25-34,2052,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,36,35-44,15,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,21,18-24,13,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,29,25-34,96,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,40,35-44,1818,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,59,55+,151,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,18,18-24,1059,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,31,25-34,40,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,29,25-34,141,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,30,25-34,143,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,42,35-44,777,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,17,Under 18,71,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,26,25-34,107,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,36,35-44,8,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,37,35-44,19,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,19,18-24,49,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,64,55+,145,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,46,45-54,275,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,52,45-54,83,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,19,18-24,20,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,22,18-24,49,2025-06-11,http://acadia.lavns.org
Acadia,Black,Female,31,25-34,27,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,37,35-44,2233,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,37,35-44,81,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,38,35-44,102,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,38,35-44,100,2025-06-11,http://acadia.lavns.org
Acadia,Black,Female,22,18-24,1730,2025-06-11,http://acadia.lavns.org
Acadia,Black,Female,23,18-24,58,2025-06-11,http://acadia.lavns.org
Acadia,White,Female,36,35-44,413,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,24,18-24,477,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,35,35-44,15,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,48,45-54,981,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,44,35-44,12,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,46,45-54,2,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,29,25-34,122,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,30,25-34,373,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,38,35-44,124,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,45,45-54,82,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,25,25-34,14,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,30,25-34,142,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,71,55+,277,2025-06-11,http://acadia.lavns.org
Acadia,Black,Female,34,25-34,0,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,43,35-44,629,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,45,45-54,260,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,33,25-34,434,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,43,35-44,273,2025-06-11,http://acadia.lavns.org
Acadia,White,Female,39,35-44,1,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,24,18-24,1129,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,37,35-44,293,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,66,55+,408,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,59,55+,46,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,42,35-44,16,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,38,35-44,7,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,31,25-34,13,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,64,55+,143,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,45,45-54,347,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,35,35-44,14,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,41,35-44,96,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,20,18-24,0,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,27,25-34,34,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,31,25-34,476,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,27,25-34,41,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,60,55+,107,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,36,35-44,72,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,41,35-44,16,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,44,35-44,27,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,62,55+,274,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,31,25-34,79,2025-06-11,http://acadia.lavns.org
Acadia,White,Female,36,35-44,9,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,33,25-34,324,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,57,55+,76,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,60,55+,287,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,47,45-54,178,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,40,35-44,861,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,17,Under 18,89,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,45,45-54,932,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,47,45-54,122,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,34,25-34,134,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,44,35-44,250,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,27,25-34,52,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,59,55+,410,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,41,35-44,11,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,38,35-44,3,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,36,35-44,48,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,22,18-24,724,2025-06-11,http://acadia.lavns.org
Acadia,White,Female,60,55+,663,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,48,45-54,53,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,37,35-44,8,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,25,25-34,20,2025-06-11,http://acadia.lavns.org
Acadia,White,Female,42,35-44,60,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,23,18-24,62,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,36,35-44,164,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,31,25-34,40,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,35,35-44,48,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,44,35-44,57,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,61,55+,1,2025-06-11,http://acadia.lavns.org
Acadia,White,Male,40,35-44,5,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,29,25-34,291,2025-06-11,http://acadia.lavns.org
Acadia,Black,Male,32,25-34,179,2025-06-11,http://acadia.lavns.org
