jail,source_url,race,gender,arrest_age,age_category,time_since_arrested,scraped_at
Assumption Parish,http://assumption.lavns.org,White,Male,37,35-44,147,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,55,55+,280,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,30,25-34,1,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,32,25-34,1470,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,30,25-34,326,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,23,18-24,516,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,27,25-34,158,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,31,25-34,124,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,42,35-44,27,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Female,49,45-54,2,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,37,35-44,60,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,35,35-44,158,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,30,25-34,107,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,40,35-44,22,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,27,25-34,426,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,20,18-24,100,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,34,25-34,249,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,21,18-24,71,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,38,35-44,617,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,55,55+,836,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,49,45-54,219,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,34,25-34,337,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,59,55+,295,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,19,18-24,1106,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Female,39,35-44,8,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,40,35-44,59,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,21,18-24,452,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Female,45,45-54,177,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Female,19,18-24,67,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,33,25-34,352,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,19,18-24,262,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,48,45-54,268,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,25,25-34,81,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,31,25-34,248,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Unknown,68,55+,1,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,29,25-34,26,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,43,35-44,49,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,22,18-24,15,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,43,35-44,2031,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,38,35-44,527,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,41,35-44,736,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,21,18-24,297,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,19,18-24,157,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,31,25-34,259,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,24,18-24,150,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,67,55+,175,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,20,18-24,298,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,30,25-34,241,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,33,25-34,205,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,52,45-54,711,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,30,25-34,684,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,58,55+,605,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,31,25-34,499,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,33,25-34,254,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,21,18-24,3,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,19,18-24,511,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,37,35-44,346,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,48,45-54,21,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,61,55+,17,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,21,18-24,60,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,38,35-44,3,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,33,25-34,8,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,37,35-44,92,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,52,45-54,709,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Female,29,25-34,113,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,39,35-44,315,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,20,18-24,27,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,36,35-44,1088,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,30,25-34,729,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Female,40,35-44,199,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,36,35-44,1594,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,40,35-44,46,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,18,18-24,186,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Female,24,18-24,64,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,21,18-24,53,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,34,25-34,199,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,26,25-34,10,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,24,18-24,336,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,29,25-34,29,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,42,35-44,297,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,27,25-34,50,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,50,45-54,904,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,41,35-44,192,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,24,18-24,255,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,52,45-54,249,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,35,35-44,109,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,34,25-34,15,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,27,25-34,260,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Female,41,35-44,3,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,32,25-34,233,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,44,35-44,305,2025-06-13
Assumption Parish,http://assumption.lavns.org,White,Male,44,35-44,392,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,36,35-44,198,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,38,35-44,574,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,27,25-34,2,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,26,25-34,239,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,40,35-44,561,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,22,18-24,438,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,19,18-24,500,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,18,18-24,954,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,23,18-24,462,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,18,18-24,76,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Female,32,25-34,159,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,33,25-34,137,2025-06-13
Assumption Parish,http://assumption.lavns.org,NA,Male,71,55+,15,2025-06-13
Ascension Parish,http://ascension.lavns.org,Black,Male,NA,NA,NA,2025-06-13
Ascension Parish,http://ascension.lavns.org,Black,Male,NA,NA,NA,2025-06-13
Ascension Parish,http://ascension.lavns.org,White,Female,20,18-24,7,2025-06-13
Ascension Parish,http://ascension.lavns.org,White,Male,NA,NA,NA,2025-06-13
Ascension Parish,http://ascension.lavns.org,Black,Male,39,35-44,33,2025-06-13
Ascension Parish,http://ascension.lavns.org,Black,Male,33,25-34,9,2025-06-13
Ascension Parish,http://ascension.lavns.org,Black,Male,NA,NA,NA,2025-06-13
Ascension Parish,http://ascension.lavns.org,Black,Male,34,25-34,19,2025-06-13
Ascension Parish,http://ascension.lavns.org,Black,Male,19,18-24,404,2025-06-13
Ascension Parish,http://ascension.lavns.org,Unknown,Male,NA,NA,NA,2025-06-13
Ascension Parish,http://ascension.lavns.org,Black,Male,36,35-44,462,2025-06-13
Ascension Parish,http://ascension.lavns.org,White,Male,NA,NA,NA,2025-06-13
Ascension Parish,http://ascension.lavns.org,Black,Female,24,18-24,486,2025-06-13
Ascension Parish,http://ascension.lavns.org,Unknown,Male,30,25-34,131,2025-06-13
Ascension Parish,http://ascension.lavns.org,White,Male,18,18-24,8,2025-06-13
Ascension Parish,http://ascension.lavns.org,White,Male,45,45-54,42,2025-06-13
Ascension Parish,http://ascension.lavns.org,White,Male,NA,NA,NA,2025-06-13
Ascension Parish,http://ascension.lavns.org,White,Male,57,55+,31,2025-06-13
